asin,title,url,manufacturer,price,price_strikethrough,coupon_discount,rating,reviews_count,sales_volume,pos,best_seller,is_prime,is_sponsored,currency,coupon_discount_type,not_available,shipping_information,search_keyword,amazon_domain,size_value,size_unit,price_per_100unit_final
B08285QVPD,"Eco Warrior Deeply Nourishing Shampoo Bar | Vegan, Cruelty Free, Natural, No SLS or Parabens | Eco Friendly Cleansing | Hydrating Pink Clay, Pure Orange & Ginger Essential Oil for Healthy Hair | 100g",/Eco-Warrior-Deeply-Nourishing-Shampoo/dp/B08285QVPD/ref=sr_1_1?dib=eyJ2IjoiMSJ9.mNZ2LX-M4g_Y21hABB8EQFgjuNO4lbYXRp0igOaxbiHjvVWx-IWbtQi66SawirracUYg6n8NIffr6Bd_JE787yAOim9vhVvHsL7k39WRyO3hVphLAX8OrZCa9w8sNfImwGgMyZdzAIi0Fu6-Zhd5sou1lk5OI7K21cELKNnXqpiIehhku8juDuEceH0dNt0PFZ-fTjlAY7uEyq1gRDLWknJvBug0cZMj-CfbQ3Q3utWeN3yi_RQOpTAMdsTn_qNccg36Zx_YzJlQGdtoaZh5rOfrW4H-1QoEAQWf7IUNv50.6kgeafSh7Ej3IcgRKj-5stdaDxWrOhfb6d695nvjtgI&dib_tag=se&keywords=shampoo+bar&qid=1759402540&sr=8-1,,4.35,5.75,,4.3,3663,1.0,1,False,False,False,GBP,,,"FREE delivery Sun 5 Oct on your first eligible order to UK or IrelandOr fastest delivery Tomorrow, 3 Oct",shampoo bar,co.uk,,,
B08RQBD48Z,"Faith In Nature Natural Shea and Argan Shampoo Bar, Nourishing, Vegan and Cruelty Free, No SLS or Parabens, For Dry to Very Dry Hair, 85 g",/Faith-Nature-Natural-Shampoo-Nourishing/dp/B08RQBD48Z/ref=sr_1_2?dib=eyJ2IjoiMSJ9.mNZ2LX-M4g_Y21hABB8EQFgjuNO4lbYXRp0igOaxbiHjvVWx-IWbtQi66SawirracUYg6n8NIffr6Bd_JE787yAOim9vhVvHsL7k39WRyO3hVphLAX8OrZCa9w8sNfImwGgMyZdzAIi0Fu6-Zhd5sou1lk5OI7K21cELKNnXqpiIehhku8juDuEceH0dNt0PFZ-fTjlAY7uEyq1gRDLWknJvBug0cZMj-CfbQ3Q3utWeN3yi_RQOpTAMdsTn_qNccg36Zx_YzJlQGdtoaZh5rOfrW4H-1QoEAQWf7IUNv50.6kgeafSh7Ej3IcgRKj-5stdaDxWrOhfb6d695nvjtgI&dib_tag=se&keywords=shampoo+bar&qid=1759402540&rdc=1&sr=8-2,,4.5,7.0,10.0,4.4,4081,600.0,2,False,False,False,GBP,percentage,,"FREE delivery Sun 5 Oct on your first eligible order to UK or IrelandOr fastest delivery Tomorrow, 3 Oct",shampoo bar,co.uk,,,
B09FB1YXF1,"Kitsch Shampoo Bar with Rice Water 91g – Solid Bar Shampoo for Hair Thickening, Strengthening and Moisturizing, Rice Water shampoo bars for Thinning Hair, Paraben-Free, Hair Care",/Kitsch-Shampoo-Strengthening-Natural-Moisturizing/dp/B09FB1YXF1/ref=sr_1_3?dib=eyJ2IjoiMSJ9.mNZ2LX-M4g_Y21hABB8EQFgjuNO4lbYXRp0igOaxbiHjvVWx-IWbtQi66SawirracUYg6n8NIffr6Bd_JE787yAOim9vhVvHsL7k39WRyO3hVphLAX8OrZCa9w8sNfImwGgMyZdzAIi0Fu6-Zhd5sou1lk5OI7K21cELKNnXqpiIehhku8juDuEceH0dNt0PFZ-fTjlAY7uEyq1gRDLWknJvBug0cZMj-CfbQ3Q3utWeN3yi_RQOpTAMdsTn_qNccg36Zx_YzJlQGdtoaZh5rOfrW4H-1QoEAQWf7IUNv50.6kgeafSh7Ej3IcgRKj-5stdaDxWrOhfb6d695nvjtgI&dib_tag=se&keywords=shampoo+bar&qid=1759402540&sr=8-3,,11.99,,,4.2,14877,1.0,3,False,False,False,GBP,,,"FREE delivery Sun 5 Oct on your first eligible order to UK or IrelandOr fastest delivery Tomorrow, 3 Oct",shampoo bar,co.uk,,,
B08V83YFXX,Garnier Ultimate Blends Honey Treasures Strengthening Shampoo Bar for Damaged Hair 60g,/Garnier-Ultimate-Treasures-Strengthening-Shampoo/dp/B08V83YFXX/ref=sr_1_4?dib=eyJ2IjoiMSJ9.mNZ2LX-M4g_Y21hABB8EQFgjuNO4lbYXRp0igOaxbiHjvVWx-IWbtQi66SawirracUYg6n8NIffr6Bd_JE787yAOim9vhVvHsL7k39WRyO3hVphLAX8OrZCa9w8sNfImwGgMyZdzAIi0Fu6-Zhd5sou1lk5OI7K21cELKNnXqpiIehhku8juDuEceH0dNt0PFZ-fTjlAY7uEyq1gRDLWknJvBug0cZMj-CfbQ3Q3utWeN3yi_RQOpTAMdsTn_qNccg36Zx_YzJlQGdtoaZh5rOfrW4H-1QoEAQWf7IUNv50.6kgeafSh7Ej3IcgRKj-5stdaDxWrOhfb6d695nvjtgI&dib_tag=se&keywords=shampoo+bar&qid=1759402540&rdc=1&sr=8-4,,4.0,,5.0,4.4,2507,1.0,4,False,False,False,GBP,percentage,,"FREE delivery Sun 5 Oct on your first eligible order to UK or IrelandOr fastest delivery Tomorrow, 3 Oct",shampoo bar,co.uk,,,
B08V7P6R7W,"Garnier Ultimate Blends Coconut Hydrating Shampoo Bar with Aloe Vera for Normal Hair, 60g",/Garnier-Ultimate-Coconut-Hydrating-Shampoo/dp/B08V7P6R7W/ref=sr_1_5?dib=eyJ2IjoiMSJ9.mNZ2LX-M4g_Y21hABB8EQFgjuNO4lbYXRp0igOaxbiHjvVWx-IWbtQi66SawirracUYg6n8NIffr6Bd_JE787yAOim9vhVvHsL7k39WRyO3hVphLAX8OrZCa9w8sNfImwGgMyZdzAIi0Fu6-Zhd5sou1lk5OI7K21cELKNnXqpiIehhku8juDuEceH0dNt0PFZ-fTjlAY7uEyq1gRDLWknJvBug0cZMj-CfbQ3Q3utWeN3yi_RQOpTAMdsTn_qNccg36Zx_YzJlQGdtoaZh5rOfrW4H-1QoEAQWf7IUNv50.6kgeafSh7Ej3IcgRKj-5stdaDxWrOhfb6d695nvjtgI&dib_tag=se&keywords=shampoo+bar&qid=1759402540&rdc=1&sr=8-5,,4.0,,5.0,4.3,2077,600.0,5,False,False,False,GBP,percentage,,"FREE delivery Sun 5 Oct on your first eligible order to UK or IrelandOr fastest delivery Tomorrow, 3 Oct",shampoo bar,co.uk,,,
B08FLDL9H9,"KinKind Rice Water Shampoo Bar for Hair Growth. Give Me STRENGTH! Shampoo Bars for hair UK made. Solid Shampoo Bar with Rice Protein & Rosemary for Thickening Menopause, Thinning, Fine & Flat Hair",/KinKind-STRENGTH-Shampoo-Rosemary-Wheatgerm/dp/B08FLDL9H9/ref=sr_1_6?dib=eyJ2IjoiMSJ9.mNZ2LX-M4g_Y21hABB8EQFgjuNO4lbYXRp0igOaxbiHjvVWx-IWbtQi66SawirracUYg6n8NIffr6Bd_JE787yAOim9vhVvHsL7k39WRyO3hVphLAX8OrZCa9w8sNfImwGgMyZdzAIi0Fu6-Zhd5sou1lk5OI7K21cELKNnXqpiIehhku8juDuEceH0dNt0PFZ-fTjlAY7uEyq1gRDLWknJvBug0cZMj-CfbQ3Q3utWeN3yi_RQOpTAMdsTn_qNccg36Zx_YzJlQGdtoaZh5rOfrW4H-1QoEAQWf7IUNv50.6kgeafSh7Ej3IcgRKj-5stdaDxWrOhfb6d695nvjtgI&dib_tag=se&keywords=shampoo+bar&qid=1759402540&sr=8-6,,7.95,,,4.4,733,1.0,6,False,False,False,GBP,,,"FREE delivery Sun 5 Oct on your first eligible order to UK or IrelandOr fastest delivery Tomorrow, 3 Oct",shampoo bar,co.uk,,,
B0DZHZDGJW,"Natural Rice & Shea Butter Shampoo Bar with Coconut Oil – Solid Shampoo Soap for Hair Growth, Anti-Hair Loss, Volumizing & Strengthening – Vegan, Nourishing Dry/Damaged Hair Care, Handmade",/Natural-Rice-Butter-Shampoo-Coconut/dp/B0DZHZDGJW/ref=sr_1_7?dib=eyJ2IjoiMSJ9.mNZ2LX-M4g_Y21hABB8EQFgjuNO4lbYXRp0igOaxbiHjvVWx-IWbtQi66SawirracUYg6n8NIffr6Bd_JE787yAOim9vhVvHsL7k39WRyO3hVphLAX8OrZCa9w8sNfImwGgMyZdzAIi0Fu6-Zhd5sou1lk5OI7K21cELKNnXqpiIehhku8juDuEceH0dNt0PFZ-fTjlAY7uEyq1gRDLWknJvBug0cZMj-CfbQ3Q3utWeN3yi_RQOpTAMdsTn_qNccg36Zx_YzJlQGdtoaZh5rOfrW4H-1QoEAQWf7IUNv50.6kgeafSh7Ej3IcgRKj-5stdaDxWrOhfb6d695nvjtgI&dib_tag=se&keywords=shampoo+bar&qid=1759402540&sr=8-7,,4.99,,,4.6,9,100.0,7,False,False,False,GBP,,,"FREE delivery Sun 5 Oct on your first eligible order to UK or IrelandOr fastest delivery Tomorrow, 3 Oct",shampoo bar,co.uk,,,
B0BS2D2KN7,"Kitsch Rice Water Shampoo & Conditioner Set - Solid Shampoo Bar & Conditioner Bar with Protein for Strengthening & Damage Repair - Paraben, Sulfate and Silicone Free - Nourishing Hair Care Set, 2pcs",/Kitsch-Conditioner-Strengthening-Cleansing-Moisturizing/dp/B0BS2D2KN7/ref=sr_1_8?dib=eyJ2IjoiMSJ9.mNZ2LX-M4g_Y21hABB8EQFgjuNO4lbYXRp0igOaxbiHjvVWx-IWbtQi66SawirracUYg6n8NIffr6Bd_JE787yAOim9vhVvHsL7k39WRyO3hVphLAX8OrZCa9w8sNfImwGgMyZdzAIi0Fu6-Zhd5sou1lk5OI7K21cELKNnXqpiIehhku8juDuEceH0dNt0PFZ-fTjlAY7uEyq1gRDLWknJvBug0cZMj-CfbQ3Q3utWeN3yi_RQOpTAMdsTn_qNccg36Zx_YzJlQGdtoaZh5rOfrW4H-1QoEAQWf7IUNv50.6kgeafSh7Ej3IcgRKj-5stdaDxWrOhfb6d695nvjtgI&dib_tag=se&keywords=shampoo+bar&qid=1759402540&sr=8-8,,22.99,,,4.3,15047,2.0,8,True,False,False,GBP,,,"FREE delivery Sun 5 Oct on your first eligible order to UK or IrelandOr fastest delivery Tomorrow, 3 Oct",shampoo bar,co.uk,,,
B07K8QBPSF,Solid Shampoo Bar And Conditioner Effect Hair Soap – 4 Pack Natural Shampoo Bars For Hair With Plant Based Essential Oils And Eco Friendly Zero Waste Biodegradable Packaging,/Solid-Shampoo-Conditioner-Effect-Hair/dp/B07K8QBPSF/ref=sr_1_9?dib=eyJ2IjoiMSJ9.mNZ2LX-M4g_Y21hABB8EQFgjuNO4lbYXRp0igOaxbiHjvVWx-IWbtQi66SawirracUYg6n8NIffr6Bd_JE787yAOim9vhVvHsL7k39WRyO3hVphLAX8OrZCa9w8sNfImwGgMyZdzAIi0Fu6-Zhd5sou1lk5OI7K21cELKNnXqpiIehhku8juDuEceH0dNt0PFZ-fTjlAY7uEyq1gRDLWknJvBug0cZMj-CfbQ3Q3utWeN3yi_RQOpTAMdsTn_qNccg36Zx_YzJlQGdtoaZh5rOfrW4H-1QoEAQWf7IUNv50.6kgeafSh7Ej3IcgRKj-5stdaDxWrOhfb6d695nvjtgI&dib_tag=se&keywords=shampoo+bar&qid=1759402540&sr=8-9,,15.97,,,4.4,2817,50.0,9,False,False,False,GBP,,,"FREE delivery Sun 5 Oct on your first eligible order to UK or IrelandOr fastest delivery Tomorrow, 3 Oct",shampoo bar,co.uk,,,
B0CP1Y2GS8,"SAPHUS 6Pcs Shampoo Bars for Hair, Sulphate Free, Plastic Free, Blue",/SAPHUS-6Pcs-Shampoo-Sulphate-Plastic/dp/B0CP1Y2GS8/ref=sr_1_10?dib=eyJ2IjoiMSJ9.mNZ2LX-M4g_Y21hABB8EQFgjuNO4lbYXRp0igOaxbiHjvVWx-IWbtQi66SawirracUYg6n8NIffr6Bd_JE787yAOim9vhVvHsL7k39WRyO3hVphLAX8OrZCa9w8sNfImwGgMyZdzAIi0Fu6-Zhd5sou1lk5OI7K21cELKNnXqpiIehhku8juDuEceH0dNt0PFZ-fTjlAY7uEyq1gRDLWknJvBug0cZMj-CfbQ3Q3utWeN3yi_RQOpTAMdsTn_qNccg36Zx_YzJlQGdtoaZh5rOfrW4H-1QoEAQWf7IUNv50.6kgeafSh7Ej3IcgRKj-5stdaDxWrOhfb6d695nvjtgI&dib_tag=se&keywords=shampoo+bar&qid=1759402540&sr=8-10,,8.99,11.98,,4.4,667,50.0,10,False,False,False,GBP,,,"FREE delivery Sun 5 Oct on your first eligible order to UK or IrelandOr fastest delivery Tomorrow, 3 Oct",shampoo bar,co.uk,,,
